Epoch:   0%|                                                                | 0/256 [00:00<?, ?it/s]Epoch:   0%|▏                                                   | 1/256 [06:55<29:25:50, 415.49s/it]Loaded 9999 data from bAbI train task 2
Loaded 995 data from bAbI test task 2
Word count: 35, Max sentence len : 7
Building DMN...
Training 256 epochs ...

cur_num_corrects, cur_loss, global_step, name
32.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
24.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
25.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
21.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
27.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
14.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
22.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
25.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
21.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
21.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
28.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
27.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
28.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
26.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
23.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
16.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
31.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
20.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
18.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
18.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
27.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
27.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
22.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
26.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
17.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
22.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
21.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
23.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
19.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
28.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
26.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
23.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
24.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
18.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
22.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
24.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
21.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
25.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
22.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
24.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
21.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
29.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
21.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
31.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
18.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
17.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
16.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
28.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
26.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
19.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
19.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
21.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
25.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
17.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
19.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
19.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
26.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
28.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
26.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
25.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
19.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
20.0 nan 70 Training
cur_num_corrects, cur_loss, global_step, name
24.0 nan 70 Training
